ID,age,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Total_spend,Campaign_Acceptance_Score,TotalPurchase 
9264,28,Graduation,Married,79529,0,0,27/04/2014 00:00,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,Canada,1638,0,24
5824,42,PhD,Together,34578,2,1,11/04/2014 00:00,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,Australia,8,0,10
5794,40,PhD,Married,46374,0,1,17/03/2014 00:00,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,India,446,2,26
3068,24,Graduation,Married,18351,0,0,29/10/2013 00:00,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,Spain,43,0,13
7962,27,PhD,Single,95169,0,0,09/10/2013 00:00,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain,1901,2,13
2681,30,2n Cycle,Married,65370,0,0,01/08/2013 00:00,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,Spain,461,0,20
10141,54,Master,Divorced,39228,0,0,10/05/2013 00:00,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,Saudi Arabia,20,0,8
3725,53,PhD,Single,84865,0,0,09/05/2013 00:00,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain,1688,4,20
3767,46,Graduation,Married,61314,0,1,25/04/2013 00:00,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,Spain,1008,0,27
5585,42,Graduation,Single,21359,1,0,20/04/2013 00:00,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,Canada,48,0,15
7030,59,PhD,Married,66465,0,1,30/03/2013 00:00,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,Spain,1485,1,41
1524,31,2n Cycle,Single,81698,0,0,01/03/2013 00:00,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,Spain,1104,1,21
3657,28,Graduation,Single,39146,1,0,14/02/2013 00:00,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,Spain,165,0,19
5740,44,2n Cycle,Divorced,25959,1,1,14/02/2013 00:00,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,Spain,56,0,13
9595,53,Graduation,Together,64260,0,0,11/01/2013 00:00,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,Spain,1574,0,17
3158,41,Graduation,Married,32300,1,0,03/01/2013 00:00,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,Spain,39,0,13
5114,49,Master,Married,74806,0,1,19/12/2012 00:00,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Australia,965,0,20
340,44,Graduation,Divorced,72967,0,1,15/12/2012 00:00,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,Germany,497,1,24
8805,54,Graduation,Single,48904,0,1,02/12/2012 00:00,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,USA,371,0,25
1241,30,2n Cycle,Married,14796,1,0,17/09/2012 00:00,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,Germany,51,0,15
1402,60,Master,Married,66991,0,0,11/09/2012 00:00,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Germany,1253,0,24
7264,36,2n Cycle,Single,52195,2,1,12/05/2014 00:00,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,Saudi Arabia,17,0,12
1619,58,Graduation,Married,90369,0,0,28/04/2014 00:00,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain,1588,0,18
6398,40,Basic,Married,18393,1,0,29/03/2014 00:00,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,Spain,50,0,16
1857,62,Graduation,Single,47139,1,1,06/03/2014 00:00,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,Spain,83,0,14
4877,41,Master,Married,38576,0,1,04/03/2014 00:00,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,India,41,0,12
3066,39,PhD,Together,61905,0,1,04/02/2014 00:00,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,Saudi Arabia,231,0,17
10286,52,Graduation,Married,83715,0,0,03/02/2014 00:00,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia,926,0,24
1992,50,Graduation,Married,60597,0,1,01/01/2014 00:00,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,Spain,893,1,23
4246,32,Master,Single,6560,0,0,12/12/2013 00:00,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,Spain,373,0,19
10623,53,Master,Together,48330,0,1,15/11/2013 00:00,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,Spain,32,0,10
4867,46,PhD,Single,38236,1,1,20/09/2013 00:00,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,Spain,88,0,18
3112,37,Master,Married,22701,1,0,05/09/2013 00:00,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,Spain,24,0,10
4865,40,Master,Divorced,53367,1,1,31/08/2013 00:00,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,Australia,400,0,28
6287,28,Graduation,Together,34728,1,0,30/07/2013 00:00,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,Spain,36,0,11
4405,58,Master,Married,63915,0,2,30/07/2013 00:00,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,Australia,789,0,28
5332,54,2n Cycle,Married,82504,0,0,27/07/2013 00:00,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,India,1066,0,18
1519,42,PhD,Single,38578,1,1,22/06/2013 00:00,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,Spain,73,0,17
9080,42,PhD,Single,38578,1,1,22/06/2013 00:00,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,Spain,73,0,17
1772,39,PhD,Married,79174,0,0,11/01/2013 00:00,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,Canada,2043,2,21
5341,52,2n Cycle,Divorced,81975,0,1,05/01/2013 00:00,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,Saudi Arabia,1588,1,21
5510,37,Master,Married,43263,0,1,21/11/2012 00:00,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,Spain,441,0,21
3887,44,Graduation,Single,27242,1,0,11/11/2012 00:00,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,India,106,0,16
7022,43,Graduation,Married,76445,1,0,28/09/2012 00:00,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,Saudi Arabia,1410,0,27
9999,49,Graduation,Together,75276,0,0,27/09/2012 00:00,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,Spain,1040,0,28
10352,51,Graduation,Widow,34213,1,1,07/09/2012 00:00,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,Saudi Arabia,117,0,18
7919,38,PhD,Together,72335,0,0,13/08/2012 00:00,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,Spain,2092,0,31
4114,50,Master,Married,79143,0,0,11/08/2012 00:00,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Australia,1693,0,32
7990,67,Graduation,Married,27469,0,0,02/08/2012 00:00,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,Canada,17,0,10
9888,45,Graduation,Together,68695,0,0,25/06/2014 00:00,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Spain,1091,0,18
4399,45,Graduation,Together,68695,0,0,25/06/2014 00:00,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Canada,1091,0,18
4452,57,Graduation,Single,50388,0,1,28/05/2014 00:00,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,Germany,372,2,24
4785,44,PhD,Together,77622,0,2,14/04/2014 00:00,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,Saudi Arabia,714,0,25
8461,52,Graduation,Divorced,46102,2,1,10/03/2014 00:00,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain,16,0,11
3878,34,2n Cycle,Single,31859,1,0,27/02/2014 00:00,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,Spain,48,0,12
9612,27,2n Cycle,Single,23830,0,0,07/02/2014 00:00,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,Spain,43,0,12
4098,41,Graduation,Married,24639,1,1,28/01/2014 00:00,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,Australia,44,0,15
158,69,PhD,Together,71604,0,0,17/11/2013 00:00,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,Spain,1196,1,21
3896,30,Graduation,Married,27255,1,0,07/11/2013 00:00,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,Spain,37,0,12
9970,37,Graduation,Together,55375,0,1,17/10/2013 00:00,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Canada,162,0,11
4002,54,PhD,Married,77037,0,1,13/10/2013 00:00,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,Spain,1123,0,30
10914,44,Graduation,Single,24163,1,1,12/10/2013 00:00,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,Spain,17,0,10
7279,45,PhD,Together,69476,0,0,30/09/2013 00:00,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,USA,1044,0,17
10582,35,Graduation,Married,72063,0,1,03/07/2013 00:00,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,Germany,758,0,23
4470,52,Master,Married,58646,0,1,10/06/2013 00:00,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Spain,140,0,12
6183,52,Master,Married,58646,0,1,10/06/2013 00:00,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Germany,140,0,12
6379,65,Master,Widow,47570,1,1,29/05/2013 00:00,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,USA,121,0,16
8601,34,Graduation,Married,80011,0,1,29/04/2013 00:00,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Australia,1395,0,25
4827,58,PhD,Single,54998,0,1,10/03/2013 00:00,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,Spain,455,0,24
6715,66,PhD,Single,60200,0,1,02/01/2013 00:00,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,Spain,685,0,31
10676,32,Graduation,Married,63211,0,0,02/11/2012 00:00,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,Spain,1173,0,22
1041,41,PhD,Single,48432,0,1,18/10/2012 00:00,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,Saudi Arabia,424,0,27
4491,65,Master,Married,62845,1,1,01/10/2012 00:00,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,Spain,1178,1,36
873,65,Master,Married,62845,1,1,01/10/2012 00:00,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,Spain,1178,1,36
1631,49,PhD,Together,65220,0,0,03/09/2012 00:00,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,Germany,1282,0,29
8278,24,PhD,Married,74214,0,0,26/08/2012 00:00,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,Spain,1711,0,21
6815,34,2n Cycle,Married,96547,0,0,23/05/2014 00:00,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,Spain,809,3,23
254,59,Graduation,Together,53863,0,1,17/05/2014 00:00,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,Spain,473,1,25
1349,44,Graduation,Married,50447,2,0,21/04/2014 00:00,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,India,148,0,14
2534,61,Graduation,Married,37716,0,1,21/04/2014 00:00,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,Australia,188,0,17
2130,32,Graduation,Together,45203,2,0,23/03/2014 00:00,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,Saudi Arabia,147,0,14
2296,39,Master,Married,37368,1,0,16/12/2013 00:00,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,Spain,30,1,10
3799,59,Graduation,Married,67225,0,1,26/11/2013 00:00,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,USA,868,0,28
11084,38,Master,Together,65104,0,1,14/11/2013 00:00,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,Canada,1053,0,24
5172,38,Master,Together,65104,0,1,14/11/2013 00:00,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,Spain,1053,0,24
9504,65,Master,Married,81698,0,0,06/11/2013 00:00,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,Spain,1008,0,26
850,46,Graduation,Single,70566,0,1,06/10/2013 00:00,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,Spain,757,0,25
4477,56,Graduation,Together,69096,0,1,27/09/2013 00:00,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Germany,653,0,22
1945,52,Graduation,Married,71434,0,1,18/09/2013 00:00,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,Spain,1400,2,25
7685,36,Graduation,Married,33039,1,0,09/09/2013 00:00,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Spain,78,0,12
6310,36,Graduation,Married,33039,1,0,09/09/2013 00:00,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Canada,78,0,12
10832,56,Graduation,Together,46610,0,0,18/07/2013 00:00,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,Spain,467,0,20
3025,56,Graduation,Single,49967,0,1,08/07/2013 00:00,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,Canada,306,0,22
2404,38,Graduation,Married,53359,1,1,27/05/2013 00:00,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,USA,257,0,21
8581,43,Master,Married,49505,1,1,05/03/2013 00:00,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,Spain,751,0,37
8755,68,Master,Married,68657,0,0,20/02/2013 00:00,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Australia,1196,0,25
10177,60,Graduation,Divorced,72071,0,1,14/02/2013 00:00,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Spain,1338,0,22
2429,60,Graduation,Divorced,72071,0,1,14/02/2013 00:00,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Canada,1338,0,22
8920,47,Master,Single,59235,1,0,12/01/2013 00:00,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,India,1128,0,35
8430,57,Graduation,Together,21994,0,1,24/12/2012 00:00,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Australia,22,0,9
8619,57,Graduation,Together,21994,0,1,24/12/2012 00:00,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Spain,22,0,9
8996,57,PhD,Married,52233,2,1,19/11/2012 00:00,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Germany,603,0,38
7233,42,Graduation,Married,69209,0,0,17/09/2012 00:00,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,Canada,1782,1,20
6678,25,Graduation,Together,31928,1,0,28/03/2014 00:00,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,India,72,0,16
830,27,PhD,Single,74004,0,0,24/02/2014 00:00,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,India,1658,2,18
6365,27,2n Cycle,Married,30390,0,0,02/09/2013 00:00,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,India,80,0,12
6770,29,Graduation,Married,21355,1,0,20/08/2013 00:00,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,USA,68,1,13
2261,45,Graduation,Married,26304,1,0,23/06/2013 00:00,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Germany,16,0,11
1031,25,2n Cycle,Married,85710,0,0,05/05/2013 00:00,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,India,1062,1,28
10089,40,Graduation,Divorced,102692,0,0,05/04/2013 00:00,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,Saudi Arabia,1112,4,31
9256,43,Graduation,Single,58350,0,1,04/01/2013 00:00,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,Spain,1001,0,33
10641,36,Graduation,Single,7500,1,1,27/12/2012 00:00,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,Spain,57,0,16
624,30,Master,Single,18890,0,0,10/11/2012 00:00,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,Saudi Arabia,35,1,10
4211,28,Basic,Married,20425,1,0,29/10/2012 00:00,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Canada,57,0,14
1407,28,Basic,Married,20425,1,0,29/10/2012 00:00,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Germany,57,0,14
10356,57,PhD,Divorced,41437,1,1,22/09/2012 00:00,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,Spain,32,0,12
9323,65,Master,Together,49912,0,1,07/09/2012 00:00,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Mexico,874,1,34
1146,65,Master,Together,49912,0,1,07/09/2012 00:00,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,Australia,874,1,34
6343,55,Graduation,Married,79823,0,1,31/03/2014 00:00,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,Australia,1518,1,25
8545,60,Graduation,Divorced,85683,0,0,21/03/2014 00:00,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,Spain,1789,4,18
8275,49,PhD,Divorced,47025,1,1,09/02/2014 00:00,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain,20,0,11
10673,38,PhD,Married,68397,0,1,17/11/2013 00:00,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,Saudi Arabia,1416,0,24
8799,30,PhD,Married,38175,1,0,23/09/2013 00:00,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,Spain,153,0,18
67,42,Master,Single,46423,1,1,18/09/2013 00:00,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,Spain,92,0,16
9923,42,Master,Single,46423,1,1,18/09/2013 00:00,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,Spain,92,0,16
2814,38,Master,Together,30560,1,0,27/06/2013 00:00,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,Saudi Arabia,31,0,12
2711,38,Master,Together,30560,1,0,27/06/2013 00:00,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,Canada,31,0,12
4320,35,Graduation,Single,60152,0,1,28/03/2013 00:00,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,Spain,943,0,26
10451,49,Graduation,Together,29672,1,1,12/03/2013 00:00,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,Saudi Arabia,25,0,10
4198,49,Graduation,Together,29672,1,1,12/03/2013 00:00,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,Spain,25,0,10
10814,67,Graduation,Together,70321,0,0,16/01/2013 00:00,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,Spain,1376,0,29
944,52,Graduation,Married,56181,0,1,08/01/2013 00:00,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,Spain,393,0,18
8151,24,Basic,Married,24279,0,0,29/12/2012 00:00,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,Spain,263,0,17
6184,45,PhD,Married,68462,0,0,12/12/2012 00:00,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,Spain,1670,0,16
3498,38,PhD,Married,55424,0,1,25/11/2012 00:00,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,Spain,877,1,31
2870,41,Graduation,Married,49094,0,1,21/09/2012 00:00,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,Spain,502,0,26
7342,53,2n Cycle,Widow,59184,0,1,09/09/2012 00:00,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,Spain,1072,0,32
1911,27,Graduation,Together,67430,0,0,05/09/2012 00:00,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,Germany,1364,0,35
10862,54,Master,Married,30522,0,1,17/08/2012 00:00,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,Spain,326,0,19
